"Output (U,D,L,R)",Distance from wall (Left),Distance from wall (Half Left),Distance from wall (Front),Distance from wall (Half Right),Distance from wall (Right)
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
L,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
D,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
L,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
